champion,n,over_wins,over_hit_pct,ci95_lo,ci95_hi,roi_pct_@1.83,avg_kills,avg_fair,delta_kills_minus_fair,sample_flag,is_peel
Soraka,2,2,100.0,34.2,100.0,83.0,32.5,28.0,4.50,RUIDO,PEEL
TahmKench,2,2,100.0,34.2,100.0,83.0,33.0,29.0,4.00,RUIDO,
Amumu,1,1,100.0,20.7,100.0,83.0,42.0,29.5,12.50,RUIDO,
Pantheon,1,1,100.0,20.7,100.0,83.0,35.0,24.5,10.50,RUIDO,
Yuumi,6,5,83.3,43.6,97.0,52.5,37.2,28.0,9.17,RUIDO,PEEL
Rell,53,38,71.7,58.4,82.0,31.2,34.2,29.7,4.48,OK,
Shen,3,2,66.7,20.8,93.9,22.0,28.3,28.5,-0.17,RUIDO,
Nautilus,145,92,63.4,55.4,70.8,16.1,32.0,29.0,2.96,OK,
Nami,38,24,63.2,47.3,76.6,15.6,32.7,28.8,3.97,OK,PEEL
Anivia,16,10,62.5,38.6,81.5,14.4,30.1,28.3,1.88,OK,
Leona,24,14,58.3,38.8,75.5,6.8,33.8,29.9,3.92,OK,
Pyke,21,12,57.1,36.5,75.5,4.6,31.8,28.8,2.98,OK,
Lux,7,4,57.1,25.0,84.2,4.6,26.3,28.1,-1.79,RUIDO,
Seraphine,52,29,55.8,42.3,68.4,2.1,30.4,28.7,1.63,OK,PEEL
Alistar,73,40,54.8,43.4,65.7,0.3,30.2,28.7,1.51,OK,
Renata,11,6,54.5,28.0,78.7,-0.2,33.2,28.4,4.77,MARG,PEEL
Braum,13,7,53.8,29.1,76.8,-1.5,30.1,28.7,1.42,MARG,
Bard,98,52,53.1,43.3,62.6,-2.9,30.4,28.9,1.54,OK,
Lulu,56,28,50.0,37.3,62.7,-8.5,30.0,29.3,0.66,OK,PEEL
Karma,44,22,50.0,35.8,64.2,-8.5,29.2,29.1,0.09,OK,PEEL
Camille,6,3,50.0,18.8,81.2,-8.5,31.7,28.5,3.17,RUIDO,
Morgana,2,1,50.0,9.5,90.5,-8.5,31.0,29.0,2.00,RUIDO,
Neeko,161,79,49.1,41.5,56.7,-10.2,29.6,28.6,1.04,OK,
Rakan,39,19,48.7,33.9,63.8,-10.8,29.3,28.7,0.63,OK,
Milio,26,12,46.2,28.8,64.5,-15.5,29.4,28.9,0.46,OK,PEEL
Elise,11,5,45.5,21.3,72.0,-16.8,30.7,28.2,2.50,MARG,
Poppy,5,2,40.0,11.8,76.9,-26.8,31.0,28.7,2.30,RUIDO,
Thresh,9,2,22.2,6.3,54.7,-59.3,24.0,27.1,-3.06,RUIDO,
Blitzcrank,3,0,0.0,0.0,56.2,-100.0,25.3,28.8,-3.50,RUIDO,
Skarner,2,0,0.0,0.0,65.8,-100.0,23.5,28.5,-5.00,RUIDO,
Rumble,2,0,0.0,0.0,65.8,-100.0,23.5,26.5,-3.00,RUIDO,
Gragas,1,0,0.0,0.0,79.3,-100.0,23.0,30.5,-7.50,RUIDO,
Mel,1,0,0.0,0.0,79.3,-100.0,28.0,28.5,-0.50,RUIDO,
Senna,1,0,0.0,0.0,79.3,-100.0,20.0,27.5,-7.50,RUIDO,
Taric,1,0,0.0,0.0,79.3,-100.0,26.0,28.5,-2.50,RUIDO,
Galio,1,0,0.0,0.0,79.3,-100.0,31.0,31.5,-0.50,RUIDO,
Maokai,1,0,0.0,0.0,79.3,-100.0,25.0,27.5,-2.50,RUIDO,
